device_serial,shock_YN
VC6M6002,0
VC6M6003,1
VC6M6007,1
VC6M6008,0
VC6M600A,0
VC6M600D,0
VC6M6010,0
VC6M6011,0
VC6M6014,0
VC6M6015,0
VC6M6016,0
VC6M6017,0
VC6M6018,0
VC6M6019,1
VC6M601A,0
VC6M601C,0
VC6M601D,1
VC6M601F,1
VC6M6020,0
VC6M6021,1
VC6M6023,0
VC6M6026,0
VC6M6027,0
VC6M6028,0
VC6M6029,1
VC6M602B,0
VC6M602C,1
VC6M602D,0
VC6M602E,0
VC6M602F,1
VC6M6030,0
VC6M6032,0
VC6M6033,1
VC6M6034,1
VC6M6035,0
VC6M6036,1
VC6M6037,1
VC6M6038,1
VC6M6039,1
VC6M603A,1
VC6M603C,0
VC6M603D,0
VC6M6040,0
VC6M6041,0
VC6M6043,1
VC6M6046,0
VC6M6049,1
VC6M604F,0
VC6M6050,0
VC6M6051,1
VC6M6052,0
VC6M6053,0
VC6M6054,1
VC6M6055,1
VC6M6056,1
VC6M6057,1
VC6M6059,0
VC6M605A,1
VC6M605B,1
VC6M605D,0
VC6M605E,0
VC6M6060,1
VC6M6061,0
VC6M6062,0
VC6M6063,1
VC6M6066,0
VC6M6068,0
VC6M606B,0
VC6M606C,1
VC6M606E,0
VC6M6070,0
VC6M6071,0
VC6M6072,0
VC6M6073,1
VC6M6074,0
VC6M6075,1
VC6M6076,0
VC6M6077,0
VC6M6087,0
VC6M608D,1
VC6M608E,1
VC6M6090,0
VC6M6091,0
VC6M6092,1
VC6M6093,1
VC6M6094,0
VC6M6098,1
VC6M609B,0
VC6M609C,0
VC6M609D,0
VC6M60A0,1
VC6M60A2,0
VC6M60A3,1
VC6M60A4,1
VC6M60A5,0
VC6M60A6,0
VC6M60A7,0
VC6M60A9,0
VC6M60AA,0
VC6M60AB,1
VC6M60AC,0
VC6M60AD,0
VC6M60AE,0
VC6M60B0,1
VC6M60B1,0
VC6M60B2,0
VC6M60B5,0
VC6M60B7,0
VC6M60B8,0
VC6M60BA,0
VC6M60BC,1
VC6M60C0,1
VC6M60C1,1
VC6M60C3,0
VC6M60C6,0
VC6M60C7,0
VC6M60C8,0
VC6M60C9,0
VC6M60CA,0
VC6M60CB,0
VC6M60CC,1
VC6M60CD,0
VC6M60CE,0
VC6M60D0,0
VC6M60D1,1
VC6M60D4,0
VC6M60D5,1
VC6M60D6,1
VC6M60D7,0
VC6M60DA,0
VC6M60DB,0
VC6M60DD,0
VC6M60E1,0
VC6M60E3,0
VC6M60E4,1
VC6M60E5,0
VC6M60E6,0
VC6M60E7,0
VC6M60E8,0
VC6M60E9,0
VC6M60EC,1
VC6M60ED,0
VC6M60EF,1
VC6M60F0,1
VC6M6126,0
VC6M6139,0
VC6M6198,0
VC6M619A,0
VC6M61A3,0
VC6M61A5,0
VC6M61A9,0
VC6M61B6,0
VC6M61C3,0
VC6M61C4,0
VC6M61ED,0
VC6ML002,1
VC6ML003,0
